"production_budget_usd, worldwide_gross_usd"
"$7,000,000","$1,000,000"
"$14,000,000","$1,000,000"
"$800,000","$1,001,437"
"$185,000,000","$1,002,572,859"
"$1,300,000","$1,005,840"
"$10,000,000","$1,011,054"
"$750,000","$1,011,535"
"$250,000,000","$1,017,003,568"
"$150,000,000","$1,019,922,983"
"$3,000,000","$1,022,453"
"$200,000,000","$1,022,617,376"
"$4,500,000","$1,022,649"
"$200,000,000","$1,025,491,110"
"$115,000,000","$1,027,044,677"
"$500,000","$1,027,228"
"$225,000","$1,032,075"
"$6,500,000","$1,033,810"
"$1,000,000","$1,036"
"$63,000,000","$1,038,812,584"
"$250,000,000","$1,045,663,875"
"$10,000,000","$1,049,641"
"$5,000,000","$1,050,861"
"$200,000,000","$1,050,988,488"
"$10,000,000","$1,051,907"
"$5,500,000","$1,060,512"
"$20,000,000","$1,065,907"
"$225,000,000","$1,066,215,812"
"$10,100,000","$1,066,555"
"$9,000,000","$1,069,318"
"$10,000,000","$1,069,454"
"$200,000,000","$1,069,818,229"
"$5,000,000","$1,075,009"
"$2,000,000","$1,075,504"
"$40,000,000","$1,079,040"
"$7,700,000","$1,080,428"
"$26,000,000","$1,083,350"
"$275,000,000","$1,084,439,099"
"$1,000,000","$1,087,521"
"$12,500,000","$1,100,287"
"$210,000,000","$1,104,039,076"
"$225,000","$1,109,276"
"$200,000,000","$1,110,526,981"
"$500,000","$1,111,615"
"$195,000,000","$1,123,790,543"
"$1,500,000","$1,126,258"
"$500,000","$1,131,261"
"$2,000,000","$1,134,358"
"$700,000","$1,140,965"
"$94,000,000","$1,141,403,341"
"$55,000,000","$1,147,784"
"$15,000,000","$1,148,578"
"$250,000,000","$1,151,684,349"
"$13,000,000","$1,152,117"
"$2,000,000","$1,152,411"
"$1,000,000","$1,156,309"
"$250,000","$1,157,672"
"$4,000,000","$1,158,877"
"$700,000","$1,160"
"$200,000","$1,161,843"
"$400,000","$1,162,014"
"$10,000,000","$1,165,102"
"$200,000","$1,165,996"
"$20,000,000","$1,167,092"
"$74,000,000","$1,167,245,366"
"$500,000","$1,167,524"
"$3,750,000","$1,178,175"
"$1,000,000","$1,179,462"
"$12,000,000","$1,188,194"
"$25,000,000","$1,190,003"
"$18,000,000","$1,199,510"
"$4,357,373","$1,200,000"
"$12,000,000","$1,200,346"
"$200,000,000","$1,215,392,272"
"$200,000","$1,217"
"$4,500,000","$1,217,307"
"$23,000","$1,227,508"
"$10,000,000","$1,230,542"
"$250,000,000","$1,237,444,462"
"$15,500,000","$1,237,615"
"$1,000,000","$1,239,174"
"$9,000,000","$1,242"
"$7,000,000","$1,246,141"
"$50,000,000","$1,250,617"
"$500,000","$1,250,798"
"$160,000,000","$1,260,122,363"
"$1,400,000","$1,261,792"
"$7,000,000","$1,268,346"
"$2,500,000","$1,269,705"
"$150,000,000","$1,274,234,980"
"$1,750,000","$1,278,471"
"$6,000,000","$1,290,920"
"$450,000","$1,297,745"
"$10,000,000","$1,299,855"
"$18,000,000","$1,305,114"
"$32,000,000","$1,308,696"
"$780,000","$1,310,470"
"$35,000,000","$1,320,043"
"$1,800,000","$1,322,161"
"$3,000,000","$1,324,299"
"$2,400,000","$1,333,891"
"$12,000","$1,336"
